26	3	1014	2
0	255.0	230.0	3231	1353	0.30
1	498.0	404.0	17	34	0	17	0.20
2	185.0	56.0	110	165	0	55	0.19
3	330.0	7.0	38	76	0	38	0.24
4	230.0	317.0	44	88	0	44	0.22
5	453.0	269.0	94	188	0	94	0.40
6	184.0	364.0	29	58	0	29	0.45
7	211.0	90.0	186	279	0	93	0.16
8	93.0	224.0	26	52	0	26	0.17
9	90.0	8.0	66	132	0	66	0.26
10	325.0	489.0	99	198	0	99	0.24
11	380.0	271.0	71	142	0	71	0.41
12	232.0	163.0	90	135	0	45	0.20
13	379.0	126.0	110	165	0	55	0.25
14	322.0	20.0	124	186	0	62	0.16
15	314.0	265.0	29	58	0	29	0.18
16	455.0	322.0	134	201	0	67	0.44
17	474.0	419.0	98	196	0	98	0.22
18	14.0	241.0	20	40	0	20	0.23
19	182.0	330.0	122	183	0	61	0.37
20	41.0	386.0	16	32	0	16	0.38
21	276.0	307.0	45	90	0	45	0.29
22	94.0	246.0	112	168	0	56	0.32
23	288.0	358.0	63	126	0	63	0.19
24	319.0	244.0	62	93	0	31	0.44
25	1.0	66.0	73	146	0	73	0.13
