26	6	431	5
0	444.0	37.0	3729	1437	0.03
1	372.0	255.0	128	192	0	64	0.03
2	481.0	195.0	84	126	0	42	0.04
3	162.0	134.0	49	98	0	49	0.05
4	162.0	396.0	74	111	0	37	0.04
5	441.0	211.0	23	46	0	23	0.05
6	230.0	206.0	79	158	0	79	0.02
7	14.0	238.0	47	94	0	47	0.05
8	116.0	405.0	150	225	0	75	0.05
9	113.0	135.0	58	116	0	58	0.04
10	407.0	486.0	62	93	0	31	0.02
11	475.0	214.0	38	57	0	19	0.05
12	166.0	329.0	196	294	0	98	0.03
13	349.0	158.0	67	134	0	67	0.04
14	153.0	275.0	76	152	0	76	0.04
15	268.0	331.0	56	112	0	56	0.03
16	194.0	277.0	59	118	0	59	0.03
17	343.0	149.0	150	225	0	75	0.03
18	17.0	302.0	46	69	0	23	0.02
19	103.0	37.0	148	222	0	74	0.02
20	427.0	232.0	80	120	0	40	0.04
21	345.0	384.0	54	108	0	54	0.02
22	243.0	432.0	180	270	0	90	0.03
23	111.0	197.0	198	297	0	99	0.03
24	24.0	180.0	14	28	0	14	0.02
25	252.0	458.0	176	264	0	88	0.02
